ID,Title,Text
777,Our train from Brussels to London was…,Our train from Brussels to London was cancelled (with our train out being 55 mins late arriving!) and Eurostar was unable to offer another booking that day meaning my wife and I had to stay overnight and get the first train back to London the next day.
778,Poor service ttm!!!,Poor service. Give me the what the hell can i do look when the train got cancelled and delayed...
779,Faulty website and unhelpful customer service,Always enjoyed using Eurostar until my most recent experience.
780,Crap service.You need to arrrive 60…,"Crap service.You need to arrrive 60 mins before a train departs. And they do not have this on the front of their E tickets, like for example, everybody else. If you do not read the fine print on the tickets under the information section you will be paying an additional £44 for not realising this."
781,I gave it 1 star because I met a nice lady on board only,I gave it 1 star because I met a nice lady to chat to. Check in at St Pancras is AWFUL. You are pushed around in line by people who love moving the elastic band that keeps you tied in only to cause more confusion and stress. They are clueless at who to send where all the time you are lugging children and bags. There were 4 trains and my suggestion to those who should know better.
782,Poor overall first time experience,Check in was crowded with passengers herded like cattle. Staff less than couteous. Train was packed and stuffy on the way to Paris. No aircon. Left with little time for my connecting train in Paris.
783,No internet. Disappointed!,No internet.
784,Ive been thinking of going away for a…,Ive been thinking of going away for a weekend trip to visit my family who live in Bruxelles and thought i would use Eurostar. When i went online to book i was shocked to find out how much they are charging their customers.   i feel that they have been given a licence to print money and they are taking full advantage.  I was going to  travel with my  family of four.  The price was coming to £800 just for the weekend . How can they be allowed to get away with charging such an extortionate fare for a train journey that is no more than London to Manchester.  If their is more demand than roll out more trains dont rip the working man off
785,Eurostar overbook their trains beware,"Booked tickets on eurostar web site 6 people very expensive. Arrived at station to be told sorry train is overbooked you cannot travel. After much fuss finally told we could stand in the aisle with all of our luggage which meant we blocked the passage to the buffet and the loo for other passengers who were not happy. There were others in a similar position apparently its ok for eurostar to take money from people and not provide the seat !! Staff unhelpful basically didnt care at all. Return journey train didnt stop at Ashford ""new trains"" unsuitable for the platform so passengers sent to Ebbsfleet then herded back via normal train again unhelpful rude staff. Customer service dont answer phones email gets generic reply. How does this company get away with it !!! be warned !!"
786,Booked bikes did not arrive!,"Booked four bikes on a 15.14 train on Saturday at an extra £40 each. Arrived on train to collect bikes at St Pancras but Eurostar had not put the bikes on the train. Waited for the next train when three of the four bikes arrived, one was still in Paris. Not helpful as we needed to cycle out of London. Had to take a taxi (£60) as we cannot get four on three bikes. Promised bikes would be sent home to Bristol. Wednesday morning, still no bikes and they are still in London. One person needed it for getting to work. Don’t return calls or do as they promise. Very disappointing"
787,I found the seats quite uncomfortable…,I found the seats quite uncomfortable compared with SNCF trains. There were no grab rails in toilets and the train was an hour late.
788,I have been recently travelling with…,"I have been recently travelling with eurostar. The train has been cancelled, needed to spend the night over in London. They claimed to refund expenses up to £250, now they are stating that I'm due £154.90 in expense, making me loose £60."
789,Never again! Only by plane from London to Paris,I've been frequently travelling between London and Paris for many years now. For pleasure as well as for business.
790,Eurostar- forget it!,"Shocking experience in gare de nord on our way back to London. Clearly the set up is absolutely not capable of processing a large train load of people that turn up between half hour and an hour before the train is supposed to leave! Hundreds of people in mass queues taking 45 minutes to get through check in, then French passport control, then uk passport control, then security, then another queue waiting for boarding! Awful experience!"
791,Yesterday,"Yesterday, I took the Eurostar from Paris Gare Ddu Nord to London: the French physiometric custom gates do not work, the staff of Eurostar and French customs do not care; customs officers are violent, harassing (get super close to you, push you, check your bag in all directions, ask you for your eurostar ticket that you have had three times checked by their friends !!!). Awful, rude, violent and horrendous experience. And the Eurostar staff in Paris: but what horror they are not involved in their work and the notion of good ""customer service"" is completely foreign to them. Cows."
792,Carte blanche to erase your points - no loyalty no doubt!,"Update 11/03: Eurostar finally agreed to take into account points earned from trips made before the introduction of Club Eurostar. However Eurostar will not re-calculate status points from previous trips using the new system, it will just consider the status points earned under the previous scheme. This is unfair because status points under the previous scheme were harder to accrue but the point threshold to reach Carte Blanche status was much lower."
793,Poor customer service,"I travel on Eurostar almost weekly and frequently I need to change journey and/or ticket. I have constantly encountered poor customer service even after new web site went live. Now I need to change my next journey and the website keeps indicating that no trains run on the selected date. However, if I wanted to buy a new ticket for that same date the website would allow me to do so. As Carte Blanche member I have tried to get in touch with the dedicated telephone number for the last two days without success. No success with general customer service number either. I am growing increasingly frustrated and found myself to spend more on BA lately than on Eurostar. I forgot to mention that the the web chat had been equally unavailable any time I tried to connect to it. Please get your act together!"
794,Terrible communication and customer service,"I travelled with eurostar on 26th December. I called before regarding special assistance as my son is autistic and large crowds/queues etc cause high anxiety and stress and causes him to vomit amongst other things. I was told to arrive 90minutes early and go to the assistance desk and we would be helped. I did this and also took proof of my sons issues with me. The man took one look at my husband and I our 3 suitcases, our 7 year old son, our 2 year old daughter an practically laughed. He said you have him with you to help with children and bags why are you here?"
795,Eurostar simply doesn’t care about you - nil points.,"Eurostar reviewed its frequent traveller scheme in September 2017. It first communicated changes via emails to its customer database in vague and positive terms promoting transfer of its ‘reward’ points on a 1:1 basis. It neglected to inform that it’s tier/status points - to provide benefits for travel - would be reset to zero for all members at launch in December 2017.  For customers who accrued points during 2017 it knowingly issued worthless points during the year without any transparency. In communication with its Customer ‘Care’ team their autopilot response deems this abuse of monopoly both ‘fair’ and ‘a level playing field’ for its customers. Without consideration it penalises and disappoints travellers who have desired to access premium level benefits for frequent or premium level tickets. It’s cursory, ill conceived and ill communicated ‘marketing’ campaign has angered many travellers by erasing their travel history, loyalty, and shows through it's website what appears to be a deliberate intent to remove previous tier status questions from its FAQ sections. Delve into the small print and the Club Eurostar 'terms and conditions' prominently state transition conditions for its reward points, yet omits to inform that status points will be reset to nil. In direct communication it takes a dismissive and unqualified ‘this matter is closed’ stance to queries to avoid resolution. Their approach to customer service suggests a significant backlog of complaints measured only by achieving a ‘cases closed’ metric of success. Further research shows it’s CEO, Nicolas Petrovic, was previously Director of Customer Services which worryingly indicates a detached and dismissive approval of a revised loyalty scheme that alienates it’s most precious and valuable core customers. Eurostar deserves it’s one star status (trust pilot does not offer zero star reviews) for its arrogant approach to customer ‘care’. Lets be clear that Eurostar disappoints in many key customer performance areas, and this subject is just one of many failures highlighting the brand's continued decline. A worthless and disappointing enterprise abusing its monopoly."
796,I have just come off the phone after …,Final Post
797,False pricing advertised on the website,"Please be aware that Eurostar website provides false pricing. I was trying to book online, and after I've put all my card details, every time I pressed pay now, the quoted ticket price was going up by £40! They claimed that tickets in this price sold out (even though there were 9 tickets available at this price). After deleting cookies, the old price came back. I tried to book on my phone, other browser etc, and every time the price went up by £40! So they show you one pricing grid and try to scam you when you're ready to book by saying that the tickets sold out (when they clearly didn't)."
798,One of the worse customer service is history,"Why are the people answering the phones at Eurostar so unhelpful and unwilling to do anything for their customers I will never understand, considering that’s their main job, is shocking how unhelpful some of them are. I am experiencing difficulties to sign in to my account to purchase train tickets, but got of the phone with a man by the name of Dom- and I just felt that he was not interested in helping, and just told me to keep trying to do the same things I told him I had already done but didn’t work, when asked if I could speak to someone else, he said no one else is available right now ... frustrating."
799,Pleasant journey,"I had a very pleasant experience on the Eurostar Brussels - London - Brussels in December 2017.   Got there 45 mins ahead of departure and queue was not too bad.  Check-in at Brussels Midi was as expected, go through 2 passport controls - one for leaving Belgium and the other for entering the UK. I was in Standard Premier.  X-ray is always a pain though as you have to lift your luggage up onto the belt.  Was served snack / breakfast on board with a croissant, roll, marmalade and butter, juice and coffee or tea.  Also a good selection of newspapers and magazines."
800,EUROSTAR - A Service Designed by Felonious Gru from 'Despicable Me'!,"Despite the shiny outward image this company attempts to create, there underlies an organisation that is mean, incompetent and totally un-customer foccussed. Since inception of the service some 20 years ago there has been a significant decline in customer service."
801,In the dark ages with customer service.,Very poor I have to use the service all the time and have many bad experiences. If you lose a ticket with proof you paid for the service the jobs worths will not see sense and just assume you are a fraudulent vilan . Also stupid website you need to accept a cookie to read their cookie policy. Trains are often double stacked at Marylebone and people get on the wrong one because the announcements do not state this. No idea of customer service.
802,BEWARE - wrong ticket times confirmations sent. not what you selected and confirm ed several times!,"BEWARE. selected tickets for my journey for end of June online. Selected times and dates, added to the basket, confirmed, checked the details, confirmed again. redirected- confirmed again. Paid. Email confirmation arrived - wrong train times! ..called Chiltern.... guess what... its apparently my fault that i didn't check on the 5th confirmation page that their website changed my tickets times for no reason at all!"
803,Rude staff at Moor Street,"Rude staff at Moor Street when trying to reclaim tickets when I lost my travel pass - got told that it was the ticket issuers (West Midlands Railway), not the pass issuers (Chiltern), even though the Network West Midlands site says that the pass holder is liable."
804,Comfortable return journey,"We had a comfortable return journey from Warwick Parkway to London, all to time, all as one would hope. The ticket office staff at Warwick Parkway are always helpful and friendly. However I seem to think that weekend fares now have much fewer advance purchase bargains. And I do think it was a big mistake for Chiltern to effectively withdraw their service into Stratford / Stratford Parkway which must make RSC theatre visits a real trial for many not living close by - very shortsighted."
805,BEWARE Parking at Bicester Village train station.,"Be advised that the parking spaces at bicester village are now nearly always full very early in the morning.  Don’t bother with Ringo as it doesn’t tell you this when you book the space, nor does Chiltern Railways either."
806,The ride on the new E320 trains is …,"The ride on the new E320 trains is awful. wobbly, bumpy and feels unsafe."
807,Poor Software and horrific customer …,Poor Software and horrific customer service
808,Problems with my account.,Very happy with the timing and the comfort of the trains but on many occasions i can not log in into my account.
809,its a s h i t  company with a weak …,"its a s h i t  company with a weak website, not investing enough in new technologies. errors are coming up, and s h i t ....."
810,Unclear check-in procedure and unhelpful staff,"I have used Eurostar regularly in the past but have not travelled on it for a couple of years. Changes have been made to the check-in process but this is not in any way clear from the email confirmation, and consequently I was not allowed on the train."
811,Rude staff at Kings Cross,I have just had the pleasure of meeting the rudest member of staff at Londons Kings Cross/St Pancreas Premier check in. After panicking all the way here after having trains cancelled or delayed we made it with 40 mins to spare so thought we should just about make it. Until we met their horrendous member of staff. She complained to us that we were late and that we might not get in. So I was panicking and said 'ok lets try the gate' she replied by saying that if I was going to be like that I had to go to the ticket office and then would not give my tickets back when I asked her. I then tried to take them back and she snatched them away and told me not to snatch... my own tickets. She then started swearing in french. I eventually had to speak to a less irrational member of staff which seemed to change the womans mind and she gave our tickets back. The whole time she complained that she had been working since 4am and that people were late and rude to her. She obviously shouldn't be working in a customer based job. Horrendous customer service and would rather swim the channel than use Eurostar again.
812,On Eurostar from London to Paris,"On Eurostar from London to Paris, on time and friendly service. From Paris to London, we arrived 30 mins before departure as suggested. We were ushered into a queue with people with all sorts of timed tickets. They called out 7.13 train and were shocked to find at least 15 people still in the queue at 7.00. they made a poor effort of prioritising those with the earliest train time. We arrived to find we were already allocated to the next train with 5 mins to go before departure. No apology was offered and no real effort was made to get everyone on their allocated train even when we arrived on time. Sadly, Eurostar Paris were unable to fulfil the basic requirement of their service. Organising people to board the train."
813,yet another dismal day at eurostar,"yet another dismal day at eurostar: asking to change my ticket to an earlier train, was assured ""that is easy-just present yourself to Gate A. Gate A says (3 minutes later)  ""boarding is closed !"" (20 minutes before departure) while actually, another 20 or so passenger passed through the boarding gate. The answer to this puzzle: the customer rep could not be bothered. Overall the waiting area at Gar du Nord has improved, somewhat, St Pancras decidedly not. Rat infestation remains an issue - as at Gar Du Nord -  (customer rep just shrug their shoulders when I pointed to  a rat on the seat next to me); the train experience remains one of the worst in Europe (based on having travelled eurostar for many years now)...poor food choice (cafe metropol as well as in standard and business premier), shame on Raymond Blanc for giving his name to this -  yet again no magazines, breakfast unchanged for years, poorly trained staff, WIFI virtually non existent.  Overcrowded train. When I complain, at best, I receive a ""sorry"". NOW BEING ASKED TO CONTACT EUROSTAR SEPARATELY BUT IT IS IMPOSSIBLE DUE TO NO BOOKING REFERENCE,  - PLEASE DO ASSUME THAT THERE IS NO WILL HERE FROM EUROSTAR TO ADDRESS ANYTHING. Update: a further complaint received no response again"
814,Appalling service and very expensive ticket on Eurostar website,After buying my ticket last night. I have went and checked again to see if I get reasonable prices from Eurostar website and of course not I found out that I have been robed for the same ticket I bought I paid £150 extra....I feel totally  ripped off I would never ever use Eurostar
815,Excellent organisation,"Excellent organisation after a gig at Wembley, ensuring we got back safely."
816,"Good service, nice trains, website & wifi could be better!","The silverline trains are great, spacious & comfortable & a nice layout with a good number of tables all with powerpoints. The free wifi used to be great but now very restrictive & often intermittent. Service is reliable and good to London from Birmingham, rarely delays or cancellations. The website needs a lot of work despite some recent improvements. All in all a good service & a lot better than other operators on different routes, so thank you, but keep improving that website please!"
817,'We're not getting there',"So we arrive at Gerrards Cross station in good time for our train to London. Now, whilst this is a sunny Saturday and not a mega busy weekday there are nevertheless quite a few travellers after trains."
818,Tried to book via an ipad - Updated,"Tried to book via an ipad, but process failed as the verified by VISA page as the site didnt seem to account for the scrolling required to fill in this box with all the details. Clicked back and re-booked with another card only to discover that the dates had reverted to a previous date for the outbound so I'm now left with paying the fee's to change the dates. As others have commented charging £30 admin fee per person per leg is not representative of the actual cost to change this especially with bookings made months in advance and is just sheer profiteering!"
819,Sharp Practice,"Spent even more time explaining to their customer services what had happened, because I thought it was a technical error, however they admitted that they keep changing the price, especially if they have just a few seats left. It was like getting a trolley full of food at a supermarket only to be told at the checkout that they are raising all the prices of the food in your trolley because you took the last items off the shelf.  Sharp practice and very poor.  I would strongly recommend that anyone wanting Eurostar tickets buys them via Last Minute.com as this was honest and easy compared with Eurostar website."
820,A normal day no delays but poor,"A normal day no delays, queues to do everything, passports, security, food, shops drink, no seats. An airline like experience"
821,Always late and unreliable,I have yet to catch a Eurostar from Paris to London on time. It is absolutely ridiculous.
822,Out of touch admin fees,"I needed to change the weekend we planned to travel from London to Paris, for myself and my husband.  I was fully expecting some sort of admin fee, but the fees I learned about were ridiculous.  £30 per person, per leg of the journey.  So to change our tickets to another weekend, we would have to pay £120!  This is 80% of the ticket price.  This is not representative of the amount of work involved, and I don't understand how anyone can think this is a normal charge."
823,Awful organisation at London,Awful organisation at London. Complete chaos and no better since I travelled 6 months ago so they clearly don’t care about customers or the service. The queue for security takes over one hour but they say only allow an hour there is very little control of the queue and so lots of people push in and queue jump. If you allow one hour and queue honestly prepare to miss the train and expect no sympathy from the staff.
824,Terrible customer service and dishonest staff,We travelled on the Eurostar from London to Brussels and were looking forward to the claim it would only take two hours!  However the train was delayed so we kept waiting and waiting and waiting with no real information about when we would leave.
825,EUROSTAR fail! THEY WILL NEVER BE OUR FIRST CHOICE FOR TRAVEL,"EUROSTAR fail! such a disappointment .. our train got cancelled, no customer service was provided at the time ABSOLUTE FAIL! ... we ended up driving last minute so we don’t loose out on our trip and activities and MIGHTY EUROSTAR is so poor they can’t even compensate the excess of less than £100 that we incurred above the cost of our ticket (not even mentioning stress incurred and travelling whole night for a weekend break booked in advance which was 2k... we chose alternative route because we didn’t want to miss out as no one would give us a refund and we didn’t have any other choice because no one from EUROSTAR bothered to show up or advice other than go in their website - which was crashing all the time - AS EXPECTED and tickets available for next day at reasonable time were all gone!) ... well done EUROSTAR! ... i would think twice before choosing your service again!"
826,Follow up review,Follow up review. If only there was minus stars.
827,The train is working great but NOT the booking web site,The train is working great (when it's working). However this review is about the web site which is the worst booking site ever.
828,My friend and I were looking for a …,"My friend and I were looking for a daytime fare from London to Paris on Nov 7, 2017 and there were no fares for $61, which was the cheapest fare, available. We ended up reserving for a train that would put us in Paris almost at midnight for that price. The ticket was bought last week, and all of a sudden, last night, it appeared that there was a daytime train for the price, after all. We went ahead and changed the time and date for a train that put us in Paris around 11:30am, but we had to pay $48 penalty per person to switch it. Really Eurostar? What kind of predatory tactic is this? I see that the penalty information is visible right before you make the change, but at the end of the day, it is inconceivable to feel OK about paying pretty much for two extra tickets, when all we wanted was to get to Paris at a decent time; and to top it off, you state that if the price is higher at the time of the change, you have to pay the penalty PLUS the difference in fare, BUT if the new fare is lower, then NO  refund would be issued. I mean, regardless of your business reason for doing so, it really hurts to be out almost $100 to exchange a ticket for a different time on the same day for the same price. This is shameful! Shameful!"
829,Getting there at last!,"I have used Eurostar several times and saw it as an efficient way of reaching the continent. However, my most recent experience has changed my name somewhat. Granted, I decided to travel Standard Premier from London to Brussels and a week later from Paris back to London. Both were very good but the last journey on 14 October was outstanding. The comfort, food and the staff were very impressive and I hope that they have finally started to get their act together. The terminal in Paris has improved but still does not compare with St Pancras. I just question why they do not give passengers more time to board at the ST Pancras end. Overall, I have to give them credit for the improvement and hope that the trend will continue."
830,Cancelled our train which was bad …,Cancelled our train which was bad enough although possibly unavoidable but....refused to compensate our hotel stay that we paid for and lost the money for at NO FAULT of our own!! Very disappointed and disgusted at that awful customer service. Do not know how they can justify us being out of pocket when they cancelled the train and couldn’t make arrangements for us to even go the next day! This meant 2 nights hotel stay paid for and lost. Sorry Eurostar but this is NOT ACCEPTABLE!
831,Obviously a great technological …,"Obviously a great technological achievement, Eurostar is let down by its awful customer service (as a regular customer, I faced problems time and time again and the lack of communication is astounding) and its very high prices. They're also trying to sell you a ""long haul flight"" experience with on board entertainment via wifi, but don't be fooled: the wifi NEVER works."
832,Would use again,"On time, clean and comfortable, hassle free, would definately use again!"
833,Online booking system is a shambles - will not use again,"The online booking system took my bookings for three tickets for three people and put them in the name of one person with slight variation on the one name. Used the online chat who told me after some time they could do nothing and I’d have to call in the morning, didn’t tell me whether what I saw was ok, this is how system works or whether this was an error. Called customer services this morning and seems my 9 minute wait to get someone on the line was very good compared to the time some people have waited. The customer service rep said this is not the first time he’d seen this (then why isn’t it fixed) suggested it could be auto fill (then why were there variations in the single name?) and why did I see three distinct names in the entry boxes? The rep cancelled my booking and entered for new tickets but no idea if the insurance I took out or the food I ordered is still valid??"
834,Error ordering,"Ridiculous and irritating customer service. I tried to book two train tickets from London to Paris 10days ago. Error page popped up after I entered the credit card details. I didn't get to the page saying successful transaction and I didn't receive any confirmation email either. I called my bank and they said the money had been charged. Then I emailed them, no words back over the ten days and I called a few times, just long waiting with annoying music. What is the hotline for if there is no one picking up calls? I am still GBP 115 out of pocket. And it is so rude that no one from the company offers any help or support or even an answer."
835,Disabled Assistance,Our trip was from St Pancras to Marseille.
836,Eurostar - worst customer service,"Neither EuroDespatch nor Eurostar wish to carry bikes / so beware! You can only take your bike on trains to Paris , Lille and Brussels - that's all. ( forget about going to Calais etc .. they aren't interested). There are many restrictions and contacting them is difficult. You have to buy the passenger rail ticket first with Eurostar  - then contact a second company called EuroDespatch to book your bike ( hoping that there is space for the bike on the same train ). My email was answered after 12 days .. and I phoned EuroDespatch dozens of times on their published number - and it was never answered. Totally hopeless. I sincerely hope the management are all sacked."
837,Eurostar Customer Service non-existent,Would like to give zero for customer service. On 7th Sept an error on their website gave me tickets for the wrong date £176 was debited. I spotted the error as soon as I got the confirmation and sent an email. I was then able to recreate their error and sent a second email with an attachment demonstrating the problem. No acknowledgement nor any reply. Tried phoning three times and gave up waiting. After  a week I went to the eurostar office at St Pancras. They said they couldn't help with the online system. Normally they would ring but they don't bother now as its an hour wait. Suggested I wait longer for a reply. I waited another week and sent a further email titled formal complaint. Still no response. I'll give St Pancras another go as I'm still £176 out of pocket.
838,BOOKING WEBSITE IS HORRENDOUS,"Unfortunately, I need to book many Eurostar tickets for staff members on a regular basis.  The website is HORRENDOUS.  It constantly fails to recognise my log-in details (a fact that a staff member told me happens to them all the time too).  Today, so far I have tried to book the same ticket 3 times and it keeps telling me it cannot accept my payment - it is really the most annoying website to deal with.  If I reluctanly have to call them to book it for me they will charge ME an extra £10 for calling THEM. It is very, very frustrating."
839,Beware rip-off exchange rate,"The check in process is as smooth as can be expected for international travel these days and certainly better than most airports. However, in 2nd class the legroom is less than mainline GWR services in the UK."
840,Inflexible and poor offering for customers,"They won't change the destination on my ticket, even if I offer to pay for the amendment - Or passenger details. They charge you £30 just to amend date and time too, on top of fare difference! I have now lost £200  - and you lost this customer I'm afraid unless you can sort it out :( Looking forward to seeing what you have to say."
841,Charlie Macauley,"I was queuing at the security thing with my luggage and a large Costa Americano. I was concerned that I would not be able to take my recently purchased, piping hot and much loved coffee through security. However a very kind gentleman named Charlie Macauley allowed me to take the coffee through, and even provided a coffee holder to take the coffee through the security scanner without spilling. He was great banter and a very kind man. He also wished me a happy holiday. Eurostar, please give this man a payrise. Because of him we will most certainly be using Eurostar again, and recommending it to friends. Excellent customer service. Well done and thank you Macauley!"
842,Unbelievable no refund possible,Unbelievable that they are fast at accepting you money but you can not get it back if you are unable to travel even with a week before the trip. You can get an other ticket but then you have to pay 30 pound and have a fixed date!
843,Hard to review when you can't even book a ticket!,"The website is pathetic. Trying to book a ticket from London to Paris, but every time I try to get a price it comes up with ""Oops - something went wrong""."
844,Unacceptable customer service,"On the one hand Eurostar consider rescheduling of your train by 12 minutes (without even warning you) to be ""a small amendment"" but arrive ""only"" 25 minutes in advance and you'll be fined 40 EUR/GBP for being late."
845,Very bad for travel with tiny tots,Appalling service at Marne le vallee chessy station on Monday 6th March.
846,bad company rip off,"i cant believe that euro star charge £30 per person each way to exchange to a different date so that means i have to pay £120 for 2 people just to change my date even though its 1 week away and unfortunately to work reasons, im shocked they they dont do refunds or part exchange without charging a fortune! i wont be using this company in the future id rather miss out then pay the extra fees its ridiculous, we are all not made of money, the staff are absolute helpless people with no sympathy."
847,excellent customer service,"Cannot fault Eurostar, polite and professional and can't do enough for you. Lisa in particular who works at the help desk was a superstar and couldn't be more helpful when we missed our train, what could of been an expensive disaster and potential mini break ruiner was saved by her. Many thanks again Lisa, you deserve a raise :)"
848,The unacceptably rude and selfish behaviour of Eurostar,"I cannot express in words how much I urge you all not to travel with Eurostar. Eurostar is a greedy company obsessed with money and filled with rude and unsympathetic staff. I don't think they have any compassion for their customers and I honestly think they see each one as a walking wallet, rather than a human being with a beating heart."
849,Seat to Brussels changed without notification,"I've had some very good experiences with Eurostar in the past, but it's going downhill. Extremely annoyed that I wasn't informed they had changed my window forward facing seat that was carefully chosen 3 months ago to a backwards facing aisle seat - apparently they decided to use my original carriage for business class. Why couldn't they e-mail me and let me choose a new seat - or a different train. Eventually I was given a forward facing seat right beside the constantly opening door to the very noisy kitchen car. Really rubbish and not a great start to my EU evaluation week."
850,The most awful travel experience,I travelled on the Eurostar to and from Amsterdam on 30 December 2016 and 2 January 2017 and was frankly disgusted with the service in its entirety.
851,Checkin Policy and Horrible Customer Service,Had the worst experience with Eurostar this morning. Horrid way to start your vacation. Suggest flying over using this company any day.
852,Never get refund. Useless cutomer service,I tried to surprise my wife bought two tickets to Paris but she unable to travel due to medical examinations. I try to get my money back but they never refund not even extending dates.
853,Next time I'll swim across,"Gare du Nord is a nightmare even by cheap airline standards - as you ascend towards the Eurostar section you are greeted by nice decor which eventually leads to a queue that I can only describe as a vicious nightmare at best - no structure or organization, and even cattle led to slaughter are treated better. I am being reassured that everyone is in the same position (as if I can't see that for myself) and after inevitably being late (nearly a full hour in the queue), I do not even receive an apology (or an explanation) and am simply handed a ticket for a train an hour later. At least they had the decency to ask whether I would like a 4 seat (with table) or 2 seat placement..."
854,Terrible Customer Service and Signage at Gare Du Nord,Eurostar:
855,Never take eurostar again.,"On wednesday, myself and 4 other friends went to brussel from london. We booked our tickets to catch the 6.50 train. Unfortunately we got there about 6.25, still 25 mins left to catch the train and it was not busy hours. staff there didn't let us through and each staff kept asking us to see a different staff and no one was a help and they were arrogant and aggressive, it was a disappointment that we have enough time and they were dragging us along. each one of us end up paying extra to catch the next train. we sit there for our next train and the boarding only started 15 mins before the departure. we see people walking in 5 mins before the departure to other trains and we feel that we were picked on and it was unfair. It ruined our morning and our trip, my friends and I wont travel on eurostar again and I wont encourage anyone to travel on eurostar again. they are greedy, rude and arrogant company."
856,I had THE BEST experience getting the Eurostar from Lille Europe to London st Pancras!!!,"So on Sunday evening I cleverly left my purse in the departure lounge at Lille (last week I left it in the airport in Zurich) and I didn't realise until I was already on my train (I know, I don't deserve to have one). Anyway, the amazingly quick witted managers Stefan and George managed to track me down and accompany my bag on the next train to London! I am so grateful to them and all of the staff. All I had to do was wait in the cushy confines of Pret a Manger, eating my egg mayo sandwich, until my purse was delivered to me in person by Stefan. If that's not great customer service then I don't know what is! In other news, the Eurostar cheese and ham toastie is delicious and the white wine not to Chablis...."
857,Awful customer service,"Took over one month to receive response to complaint about on board staff member who was aggressive and rude to me and my husband. The reply said, ""Sorry you FELT you were treated this way"", with no offer of trying to redeem the situation. Eurostar does not value its customers as it knows it has a monopoly in this area. Will be flying to Pairs and/or Brussels next time."
858,Worst experience on Eurostar,I arrived half an hour early for the Paris to St Pancras. Their systems had failed and we had to queue really far. I asked a lady holding up a sign whether I was missing my 7.13 am train at least 3 times and she told me I was on the right queue and to get back in the queue. At check in they said I was late and that I should buy a new ticket for 200 Euros from SNCF. They were not taking responsibility for their broken systems but quickly wanted me to pay for a new ticket. I looked for the manager who told me I could pay 40 Euros to catch another train but they had no clue when their own ticket office would be opening! What a strange state of affairs! Definitely some sort of scam  going on.
859,Must improve on free service,I travel a lot for work and use Eurostar very often
860,Not recommend! Poor customer services and rude agents.,I do not recommend!!!!
861,Poor customer service,"Me and my partner paid £300 each for tickets from Nice to St Pancreas. Train from Nice to Paris Gare De Lyon was delightful. Then we had to catch a train from Gare De Lyon to Paris Nord station, which was not clearly notified at all on the Eurostar website when we booked the tickets. We realised this on the train to Gare De Lyon so we realised we had to change station. This was a nightmare, no one spoke English and all the signage was in French. After finally getting to Paris Nord and into the Eurostar queue we were told we were 3 minutes late to check in. Went to the ticket office who tried charging £40 each to be put on the next train which was  1 hour later. Explained to the staff that there was no way that we could have got from one station to the other due to our circumstances and language barriers any faster and having paid for premium tickets we thought that been 3 minutes late was very mean, especially with the price we paid. They refused to listen to anything we had to say, and tried to make it our own wrong doing. Once we were on the train all was well though, on time and friendly staff. A very stressful experience with poor customer service, could so easily have been a pleasant journey."
862,Queued for over 2 hours at Gare de Nord …,"Queued for over 2 hours at Gare de Nord station.  No Eurostar staff to tell us why, no water handed out, nowhere to sit etc.  Once checked in we had to board immediately, no time to get something to eat or drink (unless you want to buy something on the train, which I would advise you avoid).  Customer services failed to address my complaint - volume of people when you presell tickets is NOT a valid excise nor is it the reason there were no staff to inform people or the excuse to treat people so badly.  Would NEVER chose to travel by Eurostar again, I'd prefer to spend my time travelling to an airport!"
863,I'm afraid this is another tale of woe,"I'm afraid this is another tale of woe.  My poor son went traveling to Paris with his friends for a break after his A levels.  They arrived half an hour before departure only to be told check-in closed 2 minutes ago.  Particularly galling as the train itself was late.  Staff were unhelpful, disrespectful to the youngsters and rude.  They smirked behind the small print and charged them £30 extra to go on a later train.  Remonstrating with customer service met with obtuse meaningless responses.  My advice is to avoid at all costs, especially if you are a young person on a budget.  Choose either to fly or catch the ferry.  Never had a problem with either of them."
864,God help you if you are delayed and …,God help you if you are delayed and need to claim compensation...their customer service is truly abysmal.
865,Poor Eurostar experience in Paris,"We travelled to Paris via Eurostar on 8th July and returned in 9th July. I was appaled at the poor service in Gare Du Nord on the return. The  queue management for immigration control was amateur at best. We had two children under 4 years and waited in a queue for about an hour only to find that as we got close to the stairs leading up to UK immigration control, at least 6 further queues had formed and people were jostling to get in. Eurostar staff were managing best they could but surely it should be possible for Eurostar to organise the queue to prevent the whole thing becoming farcical. The whole Eurostar experience was spoilt by this episode."
866,Terrible service,"Very often not possible to pay by card at the bar buffet, very limited options for food, no indication whatsoever on where the bar buffet is, wi fi not working, multiple delays all the time, making ""service stop"" at Lille for example for over 30 min. Someone needs to break their monopoly!"
867,Told there would be wifi not happing,"Told there would be wifi not happing , old trains sets stained carpets , plugs don't work"
